Ticker,Tier,Price,Sector,Z-Score,ROIC %,Op Margin %,Curr Ratio,Int Cov,Mkt Cap (B)
FIVE,Strong,188.7,Consumer Cyclical,4.31,9.04,4.17,1.605,,10.41
BG,Strong,89.21,Consumer Defensive,4.27,11.42,2.19,1.66,4.24,17.25
ADM,Strong,58.185,Consumer Defensive,3.08,8.88,1.95,1.372,4.19,27.96
CRI,Strong,31.64,Consumer Cyclical,2.79,13.62,3.55,2.26,8.37,1.15
ARHS,Strong,11.47,Consumer Cyclical,2.71,10.67,4.76,1.343,,1.62
M,Strong,22.12,Consumer Cyclical,2.57,7.39,0.77,1.254,7.63,5.88
BABA,Strong,147.985,Consumer Cyclical,1.81,12.06,2.17,1.456,17.2,353.1
CNH,Strong,9.41,Industrials,1.72,10.91,3.36,5.181,1.9,11.77
KMX,Strong,38.96,Consumer Cyclical,1.65,6.11,1.83,1.993,1.77,5.72
BIDU,Strong,126.2042,Communication Services,1.57,9.07,3.52,1.907,11.14,44.0
